1989	99.928091000	0x0304	1	51
1991	99.929436000	0x0304	1	51
1993	99.992083000	0x0304	1	51
1995	99.993722000	0x0304	1	51
1997	100.051386000	0x0304	1	51
1999	100.052897000	0x0304	1	51
2001	100.112385000	0x0304	1	51
2003	100.113895000	0x0304	1	51
2005	100.174593000	0x0304	1	51
2007	100.176183000	0x0304	1	51
2009	100.250723000	0x0304	1	51
2011	100.252117000	0x0304	1	51
2013	100.313595000	0x0304	1	51
2015	100.315176000	0x0304	1	51
2017	100.374874000	0x0304	1	51
2019	100.375990000	0x0304	1	51
2021	100.436726000	0x0304	1	51
2023	100.438170000	0x0304	1	51
2025	100.500889000	0x0304	1	51
2027	100.502452000	0x0304	1	51
2029	100.564070000	0x0304	1	51
2031	100.565707000	0x0304	1	51
2033	100.627365000	0x0304	1	51
2035	100.628893000	0x0304	1	51
2037	100.689544000	0x0304	1	51
2039	100.691134000	0x0304	1	51
2041	100.752066000	0x0304	1	51
2043	100.753580000	0x0304	1	51
2045	100.816131000	0x0304	1	51
2047	100.817768000	0x0304	1	51
2049	100.877481000	0x0304	1	51
2051	100.879104000	0x0304	1	51
2053	100.955074000	0x0304	1	51
2055	100.956694000	0x0304	1	51
2057	100.988926000	0x025d	0	64
2059	100.990718000	0x025d	0	64
2061	100.992570000	0x025d	0	64
2069	101.016558000	0x0304	1	51
2071	101.017682000	0x0304	1	51
2073	101.031050000	0x0304	1	51
2075	101.032197000	0x0304	1	51
2077	101.045076000	0x0304	1	51
2079	101.046154000	0x0304	1	51
2081	101.108323000	0x0304	1	51
2083	101.109855000	0x0304	1	51
2085	101.172095000	0x0304	1	51
2087	101.173692000	0x0304	1	51
2089	101.234516000	0x0304	1	51
2091	101.236004000	0x0304	1	51
2093	101.296279000	0x0304	1	51
2095	101.297745000	0x0304	1	51
2097	101.358051000	0x0304	1	51
2099	101.359709000	0x0304	1	51
2101	101.434679000	0x0304	1	51
2103	101.435885000	0x0304	1	51
2105	101.496217000	0x0304	1	51
2107	101.497751000	0x0304	1	51
2109	101.560077000	0x0304	1	51
2111	101.561684000	0x0304	1	51
2113	101.620283000	0x0304	1	51
2115	101.621672000	0x0304	1	51
2117	101.683339000	0x0304	1	51
2119	101.684684000	0x0304	1	51
2121	101.743584000	0x0304	1	51
2123	101.745064000	0x0304	1	51
2125	101.806750000	0x0304	1	51
2127	101.808180000	0x0304	1	51
2129	101.883932000	0x0304	1	51
2131	101.885183000	0x0304	1	51
2133	101.944809000	0x0304	1	51
2135	101.946078000	0x0304	1	51
2137	102.007039000	0x0304	1	51
2139	102.008454000	0x0304	1	51
2141	102.068042000	0x0304	1	51
2143	102.069259000	0x0304	1	51
2145	102.129774000	0x0304	1	51
2147	102.131463000	0x0304	1	51
2149	102.191138000	0x0304	1	51
2151	102.192682000	0x0304	1	51
2153	102.268924000	0x0304	1	51
2155	102.270257000	0x0304	1	51
2157	102.328546000	0x0304	1	51
2159	102.329842000	0x0304	1	51
2161	102.390914000	0x0304	1	51
2163	102.392329000	0x0304	1	51
2165	102.451183000	0x0304	1	51
2167	102.452668000	0x0304	1	51
2169	102.513599000	0x0304	1	51
2171	102.515305000	0x0304	1	51
2173	102.575808000	0x0304	1	51
2175	102.577169000	0x0304	1	51
2177	102.637305000	0x0304	1	51
