2929	119.360410000			
2931	119.421301000			
2933	119.422869000			
2935	119.486997000			
2937	119.487989000			
2939	119.549580000			
2941	119.614067000			
2943	119.677449000			
2945	119.742832000			
2947	119.805354000			
2949	119.870649000			
2951	119.933530000			
2953	119.935015000			
2955	119.999156000			
2961	120.062779000			
2963	120.127758000			
2969	120.190536000			
2971	120.191832000			
2977	120.253920000			
2979	120.255646000			
2985	120.317734000			
2987	120.382629000			
2989	120.384273000			
2991	120.445321000			
2993	120.446900000			
2995	120.510872000			
2997	120.511720000			
2999	120.573848000			
3001	120.575576000			
3003	120.637649000			
3005	120.639178000			
3007	120.702026000			
3009	120.703531000			
3011	120.765541000			
3013	120.767087000			
3015	120.829704000			
3017	120.831118000			
3023	120.894618000			
3025	120.896198000			
3029	120.959328000			
3031	120.960481000			
3035	121.021144000			
3041	121.085761000			
3047	121.149691000			
3049	121.215368000			
3051	121.277888000			
3053	121.341103000			
3055	121.406688000			
3057	121.469324000			
3059	121.534477000			
3061	121.535963000			
3063	121.599602000			
3065	121.601226000			
3067	121.661548000			
3069	121.663119000			
3071	121.727619000			
3073	121.729128000			
3075	121.789648000			
3077	121.790994000			
3079	121.854619000			
3081	121.856284000			
3083	121.918116000			
3085	121.919690000			
3087	121.982051000			
3089	121.983302000			
3091	122.045520000			
3093	122.047114000			
3095	122.110799000			
3097	122.112089000			
3099	122.173793000			
3101	122.175459000			
3103	122.238211000			
3105	122.239711000			
3107	122.302660000			
3109	122.304129000			
3111	122.365302000			
3113	122.366893000			
3115	122.429812000			
3117	122.430750000			
3119	122.495826000			
3121	122.497408000			
3123	122.557169000			
3125	122.622503000			
3127	122.686785000			
3129	122.750583000			
3131	122.814843000			
3133	122.878166000			
3135	122.941433000			
3137	122.942985000			
3139	123.006586000			
3141	123.008142000			
3143	123.070342000			
3145	123.071943000			
3147	123.133624000			
3149	123.135568000			
3151	123.199657000			
3153	123.201173000			
3155	123.261249000			
3157	123.262929000			
3159	123.326115000			
3161	123.327759000			
3163	123.390053000			
3165	123.391585000			
3167	123.453323000			
3169	123.454865000			
3171	123.518504000			
3173	123.519953000			
3175	123.581537000			
3177	123.583124000			
3179	123.645513000			
3181	123.646939000			
3183	123.710727000			
3185	123.712105000			
3187	123.773697000			
3189	123.774906000			
3191	123.839389000			
3193	123.840856000			
3195	123.901353000			
3197	123.965579000			
3199	123.967262000			
3201	124.029424000			
3203	124.095635000			
3205	124.157345000			
3207	124.158986000			
3209	124.222685000			
3211	124.224339000			
3213	124.285840000			
3215	124.351346000			
3217	124.352945000			
3219	124.413746000			
3221	124.478560000			
3223	124.541381000			
3225	124.543038000			
3227	124.607071000			
3229	124.669709000			
3231	124.671144000			
3233	124.734886000			
3235	124.736417000			
3237	124.797813000			
3239	124.799317000			
3241	124.862703000			
3243	124.864337000			
3245	124.925953000			
3247	124.927334000			
3249	124.991644000			
3251	124.993333000			
3253	125.053213000			
